param,mean,std,avg_time
0.85,8.312706e+01,2.217732e+01,1.437835e-03
0.9,8.550885e+01,2.684928e+01,1.370485e-03
0.93,1.069508e+02,2.657665e+01,1.407540e-03
0.95,1.140852e+02,1.853211e+01,1.426260e-03
0.98,1.964637e+02,4.380856e+01,1.370940e-03
